"Location","Total","Occupied","Vacant"
"    Carlisle-Rockledge CDP, Alabama","914","823","91"
"Carlton CDP, Alabama","","",""
"    Carlton CDP, Alabama","29","14","15"
"Carolina town, Alabama","","",""
"    Carolina town, Alabama","126","119","7"
"Carrollton town, Alabama","","",""
"    Carrollton town, Alabama","399","355","44"
"Castleberry town, Alabama","","",""
"    Castleberry town, Alabama","262","203","59"
"Catherine CDP, Alabama","","",""
"    Catherine CDP, Alabama","34","19","15"
"Cedar Bluff town, Alabama","","",""
"    Cedar Bluff town, Alabama","1,027","788","239"
"Center Point city, Alabama","","",""
"    Center Point city, Alabama","6,932","5,979","953"
"Centre city, Alabama","","",""
"    Centre city, Alabama","1,713","1,453","260"
"Centreville city, Alabama","","",""
"    Centreville city, Alabama","1,204","1,057","147"
"Chatom town, Alabama","","",""
"    Chatom town, Alabama","463","406","57"
"Chelsea city, Alabama","","",""
"    Chelsea city, Alabama","5,437","5,246","191"
"Cherokee town, Alabama","","",""
"    Cherokee town, Alabama","506","422","84"
"Chickasaw city, Alabama","","",""
"    Chickasaw city, Alabama","2,902","2,589","313"
"Childersburg city, Alabama","","",""
"    Childersburg city, Alabama","2,284","2,079","205"
"Choccolocco CDP, Alabama","","",""
"    Choccolocco CDP, Alabama","1,120","1,060","60"
"Chunchula CDP, Alabama","","",""
"    Chunchula CDP, Alabama","100","77","23"
"Citronelle city, Alabama","","",""
"    Citronelle city, Alabama","1,689","1,489","200"
"Clanton city, Alabama","","",""
"    Clanton city, Alabama","3,882","3,511","371"
"Clay city, Alabama","","",""
"    Clay city, Alabama","4,049","3,862","187"
"Clayhatchee town, Alabama","","",""
"    Clayhatchee town, Alabama","255","218","37"
"Clayton town, Alabama","","",""
"    Clayton town, Alabama","589","471","118"
"Cleveland town, Alabama","","",""
"    Cleveland town, Alabama","531","490","41"
"Clio city, Alabama","","",""
"    Clio city, Alabama","578","482","96"
"Coaling town, Alabama","","",""
"    Coaling town, Alabama","836","731","105"
"Coats Bend CDP, Alabama","","",""
"    Coats Bend CDP, Alabama","568","502","66"
"Coffee Springs town, Alabama","","",""
"    Coffee Springs town, Alabama","110","91","19"
"Coffeeville town, Alabama","","",""
"    Coffeeville town, Alabama","172","126","46"
"Coker town, Alabama","","",""
"    Coker town, Alabama","375","351","24"
"Collinsville town, Alabama","","",""
"    Collinsville town, Alabama","670","607","63"
"Colony town, Alabama","","",""
"    Colony town, Alabama","137","114","23"
"Columbia town, Alabama","","",""
"    Columbia town, Alabama","385","302","83"
"Columbiana city, Alabama","","",""
"    Columbiana city, Alabama","1,448","1,332","116"
"Concord CDP, Alabama","","",""
"    Concord CDP, Alabama","752","697","55"
"Coosada town, Alabama","","",""
"    Coosada town, Alabama","514","477","37"
"Cordova city, Alabama","","",""
"    Cordova city, Alabama","855","737","118"
"Cottondale CDP, Alabama","","",""
"    Cottondale CDP, Alabama","1,480","1,333","147"
"Cottonwood town, Alabama","","",""
"    Cottonwood town, Alabama","557","468","89"
"County Line town, Alabama","","",""
"    County Line town, Alabama","127","107","20"
"Courtland town, Alabama","","",""
"    Courtland town, Alabama","308","258","50"
"Cowarts town, Alabama","","",""
"    Cowarts town, Alabama","827","749","78"
"Creola city, Alabama","","",""
"    Creola city, Alabama","829","774","55"
"Crossville town, Alabama","","",""
"    Crossville town, Alabama","719","654","65"
"Cuba town, Alabama","","",""
"    Cuba town, Alabama","166","131","35"
"Cullman city, Alabama","","",""
"    Cullman city, Alabama","8,023","7,445","578"
"Cullomburg CDP, Alabama","","",""
"    Cullomburg CDP, Alabama","66","48","18"
"Cusseta town, Alabama","","",""
"    Cusseta town, Alabama","65","48","17"
"Dadeville city, Alabama","","",""
"    Dadeville city, Alabama","1,379","1,213","166"
"Daleville city, Alabama","","",""
"    Daleville city, Alabama","2,657","2,212","445"
"Daphne city, Alabama","","",""
"    Daphne city, Alabama","12,157","11,195","962"
"Dauphin Island town, Alabama","","",""
"    Dauphin Island town, Alabama","2,043","844","1,199"
"Daviston town, Alabama","","",""
"    Daviston town, Alabama","97","72","25"
"Dayton town, Alabama","","",""
"    Dayton town, Alabama","12","7","5"
"Deatsville town, Alabama","","",""
"    Deatsville town, Alabama","587","570","17"
"Decatur city, Alabama","","",""
"    Decatur city, Alabama","25,351","23,570","1,781"
"Deer Park CDP, Alabama","","",""
"    Deer Park CDP, Alabama","77","60","17"
"Delta CDP, Alabama","","",""
"    Delta CDP, Alabama","166","109","57"
"Demopolis city, Alabama","","",""
"    Demopolis city, Alabama","3,400","2,973","427"
"Detroit town, Alabama","","",""
"    Detroit town, Alabama","117","98","19"
"Dodge City town, Alabama","","",""
"    Dodge City town, Alabama","227","198","29"
"Dora city, Alabama","","",""
"    Dora city, Alabama","1,005","920","85"
"Dothan city, Alabama","","",""
"    Dothan city, Alabama","33,242","30,115","3,127"
"Double Springs town, Alabama","","",""
"    Double Springs town, Alabama","494","428","66"
"Douglas town, Alabama","","",""
"    Douglas town, Alabama","316","274","42"
"Dozier town, Alabama","","",""
"    Dozier town, Alabama","160","126","34"
"Dunnavant CDP, Alabama","","",""
"    Dunnavant CDP, Alabama","414","377","37"
"Dutton town, Alabama","","",""
"    Dutton town, Alabama","150","130","20"
"Eagle Point CDP, Alabama","","",""
"    Eagle Point CDP, Alabama","964","942","22"
"East Brewton city, Alabama","","",""
"    East Brewton city, Alabama","1,114","956","158"
"East Point CDP, Alabama","","",""
"    East Point CDP, Alabama","81","73","8"
"Eclectic town, Alabama","","",""
"    Eclectic town, Alabama","520","469","51"
"Edgewater CDP, Alabama","","",""
"    Edgewater CDP, Alabama","385","325","60"
"Edwardsville town, Alabama","","",""
"    Edwardsville town, Alabama","86","67","19"
"Egypt CDP, Alabama","","",""
"    Egypt CDP, Alabama","368","329","39"
"Elba city, Alabama","","",""
"    Elba city, Alabama","1,655","1,343","312"
"Elberta town, Alabama","","",""
"    Elberta town, Alabama","1,064","860","204"
"Eldridge town, Alabama","","",""
"    Eldridge town, Alabama","48","41","7"
"Elkmont town, Alabama","","",""
"    Elkmont town, Alabama","196","180","16"
"Elmore town, Alabama","","",""
"    Elmore town, Alabama","475","435","40"
"Emelle town, Alabama","","",""
"    Emelle town, Alabama","21","10","11"
"Emerald Mountain CDP, Alabama","","",""
"    Emerald Mountain CDP, Alabama","1,250","1,210","40"
"Enterprise city, Alabama","","",""
"    Enterprise city, Alabama","12,531","11,350","1,181"
"Epes town, Alabama","","",""
"    Epes town, Alabama","141","105","36"
"Equality CDP, Alabama","","",""
"    Equality CDP, Alabama","94","70","24"
"Ethelsville town, Alabama","","",""
"    Ethelsville town, Alabama","37","26","11"
"Eufaula city, Alabama","","",""
"    Eufaula city, Alabama","6,045","5,323","722"
"Eunola CDP, Alabama","","",""
"    Eunola CDP, Alabama","135","120","15"
"Eutaw town, Alabama","","",""
"    Eutaw town, Alabama","1,416","1,262","154"
"Eva town, Alabama","","",""
"    Eva town, Alabama","257","233","24"
"Evergreen city, Alabama","","",""
"    Evergreen city, Alabama","1,683","1,404","279"
"Excel town, Alabama","","",""
"    Excel town, Alabama","249","212","37"
"Fairfield city, Alabama","","",""
"    Fairfield city, Alabama","4,623","3,843","780"
"Fairford CDP, Alabama","","",""
"    Fairford CDP, Alabama","87","67","20"
"Fairhope city, Alabama","","",""
"    Fairhope city, Alabama","10,197","9,297","900"
"Fairview town, Alabama","","",""
"    Fairview town, Alabama","207","191","16"
"Falkville town, Alabama","","",""
"    Falkville town, Alabama","418","374","44"
"Faunsdale town, Alabama","","",""
"    Faunsdale town, Alabama","34","32","2"
"Fayette city, Alabama","","",""
"    Fayette city, Alabama","2,095","1,796","299"
"Fayetteville CDP, Alabama","","",""
"    Fayetteville CDP, Alabama","649","563","86"
"Fitzpatrick CDP, Alabama","","",""
"    Fitzpatrick CDP, Alabama","44","44","0"
"Five Points town, Alabama","","",""
"    Five Points town, Alabama","58","51","7"
"Flomaton town, Alabama","","",""
"    Flomaton town, Alabama","680","592","88"
"Florala town, Alabama","","",""
"    Florala town, Alabama","1,017","810","207"
"Florence city, Alabama","","",""
"    Florence city, Alabama","19,710","17,516","2,194"
"Foley city, Alabama","","",""
"    Foley city, Alabama","9,911","8,799","1,112"
"Forestdale CDP, Alabama","","",""
"    Forestdale CDP, Alabama","4,430","4,143","287"
"Forkland town, Alabama","","",""
"    Forkland town, Alabama","237","195","42"
"Fort Deposit town, Alabama","","",""
"    Fort Deposit town, Alabama","534","479","55"
"Fort Payne city, Alabama","","",""
"    Fort Payne city, Alabama","6,028","5,472","556"
"Fort Rucker CDP, Alabama","","",""
"    Fort Rucker CDP, Alabama","1,563","1,361","202"
"Franklin town, Alabama","","",""
"    Franklin town, Alabama","310","257","53"
"Fredonia CDP, Alabama","","",""
"    Fredonia CDP, Alabama","101","85","16"
