"Location","Total","Occupied","Vacant"
"Sioux Center city, Iowa","","",""
"    Sioux Center city, Iowa","2,669","2,495","174"
"Sioux City city, Iowa","","",""
"    Sioux City city, Iowa","34,331","32,170","2,161"
"Sioux Rapids city, Iowa","","",""
"    Sioux Rapids city, Iowa","363","317","46"
"Slater city, Iowa","","",""
"    Slater city, Iowa","644","623","21"
"Sloan city, Iowa","","",""
"    Sloan city, Iowa","451","434","17"
"Smithland city, Iowa","","",""
"    Smithland city, Iowa","102","83","19"
"Soldier city, Iowa","","",""
"    Soldier city, Iowa","108","90","18"
"Solon city, Iowa","","",""
"    Solon city, Iowa","1,126","1,067","59"
"Somers city, Iowa","","",""
"    Somers city, Iowa","63","61","2"
"South Amana CDP, Iowa","","",""
"    South Amana CDP, Iowa","73","68","5"
"South English city, Iowa","","",""
"    South English city, Iowa","103","82","21"
"Spencer city, Iowa","","",""
"    Spencer city, Iowa","5,606","5,066","540"
"Sperry CDP, Iowa","","",""
"    Sperry CDP, Iowa","52","52","0"
"Spillville city, Iowa","","",""
"    Spillville city, Iowa","193","173","20"
"Spirit Lake city, Iowa","","",""
"    Spirit Lake city, Iowa","2,806","2,380","426"
"Spragueville city, Iowa","","",""
"    Spragueville city, Iowa","44","38","6"
"Springbrook city, Iowa","","",""
"    Springbrook city, Iowa","65","65","0"
"Spring Hill city, Iowa","","",""
"    Spring Hill city, Iowa","32","27","5"
"Springville city, Iowa","","",""
"    Springville city, Iowa","502","463","39"
"Stacyville city, Iowa","","",""
"    Stacyville city, Iowa","249","215","34"
"Stanhope city, Iowa","","",""
"    Stanhope city, Iowa","192","172","20"
"Stanley city, Iowa","","",""
"    Stanley city, Iowa","41","35","6"
"Stanton city, Iowa","","",""
"    Stanton city, Iowa","291","270","21"
"Stanwood city, Iowa","","",""
"    Stanwood city, Iowa","288","268","20"
"State Center city, Iowa","","",""
"    State Center city, Iowa","630","583","47"
"Steamboat Rock city, Iowa","","",""
"    Steamboat Rock city, Iowa","156","128","28"
"Stockport city, Iowa","","",""
"    Stockport city, Iowa","121","107","14"
"Stockton city, Iowa","","",""
"    Stockton city, Iowa","76","71","5"
"Stone City CDP, Iowa","","",""
"    Stone City CDP, Iowa","95","92","3"
"Storm Lake city, Iowa","","",""
"    Storm Lake city, Iowa","3,844","3,597","247"
"Story City city, Iowa","","",""
"    Story City city, Iowa","1,611","1,484","127"
"Stout city, Iowa","","",""
"    Stout city, Iowa","83","76","7"
"Stratford city, Iowa","","",""
"    Stratford city, Iowa","327","284","43"
"Strawberry Point city, Iowa","","",""
"    Strawberry Point city, Iowa","566","508","58"
"Struble city, Iowa","","",""
"    Struble city, Iowa","32","26","6"
"Stuart city, Iowa","","",""
"    Stuart city, Iowa","818","733","85"
"Sully city, Iowa","","",""
"    Sully city, Iowa","363","352","11"
"Sumner city, Iowa","","",""
"    Sumner city, Iowa","938","853","85"
"Sun Valley Lake CDP, Iowa","","",""
"    Sun Valley Lake CDP, Iowa","512","98","414"
"Superior city, Iowa","","",""
"    Superior city, Iowa","56","45","11"
"Sutherland city, Iowa","","",""
"    Sutherland city, Iowa","345","302","43"
"Swaledale city, Iowa","","",""
"    Swaledale city, Iowa","82","81","1"
"Swan city, Iowa","","",""
"    Swan city, Iowa","32","32","0"
"Swea City city, Iowa","","",""
"    Swea City city, Iowa","309","257","52"
"Swedesburg CDP, Iowa","","",""
"    Swedesburg CDP, Iowa","51","41","10"
"Swisher city, Iowa","","",""
"    Swisher city, Iowa","388","377","11"
"Tabor city, Iowa","","",""
"    Tabor city, Iowa","418","386","32"
"Tama city, Iowa","","",""
"    Tama city, Iowa","1,243","1,118","125"
"Templeton city, Iowa","","",""
"    Templeton city, Iowa","158","153","5"
"Tennant city, Iowa","","",""
"    Tennant city, Iowa","36","36","0"
"Terril city, Iowa","","",""
"    Terril city, Iowa","180","149","31"
"Thayer city, Iowa","","",""
"    Thayer city, Iowa","22","21","1"
"Thompson city, Iowa","","",""
"    Thompson city, Iowa","277","247","30"
"Thor city, Iowa","","",""
"    Thor city, Iowa","77","67","10"
"Thornburg city, Iowa","","",""
"    Thornburg city, Iowa","24","22","2"
"Thornton city, Iowa","","",""
"    Thornton city, Iowa","205","185","20"
"Thurman city, Iowa","","",""
"    Thurman city, Iowa","74","67","7"
"Tiffin city, Iowa","","",""
"    Tiffin city, Iowa","1,978","1,749","229"
"Tingley city, Iowa","","",""
"    Tingley city, Iowa","76","63","13"
"Tipton city, Iowa","","",""
"    Tipton city, Iowa","1,505","1,349","156"
"Titonka city, Iowa","","",""
"    Titonka city, Iowa","258","211","47"
"Toeterville CDP, Iowa","","",""
"    Toeterville CDP, Iowa","24","20","4"
"Toledo city, Iowa","","",""
"    Toledo city, Iowa","1,029","935","94"
"Toronto city, Iowa","","",""
"    Toronto city, Iowa","55","48","7"
"Traer city, Iowa","","",""
"    Traer city, Iowa","742","677","65"
"Trenton CDP, Iowa","","",""
"    Trenton CDP, Iowa","36","36","0"
"Treynor city, Iowa","","",""
"    Treynor city, Iowa","413","394","19"
"Tripoli city, Iowa","","",""
"    Tripoli city, Iowa","554","508","46"
"Truesdale city, Iowa","","",""
"    Truesdale city, Iowa","41","31","10"
"Truro city, Iowa","","",""
"    Truro city, Iowa","192","177","15"
"Turin city, Iowa","","",""
"    Turin city, Iowa","35","26","9"
"Twin Lakes CDP, Iowa","","",""
"    Twin Lakes CDP, Iowa","345","149","196"
"Udell city, Iowa","","",""
"    Udell city, Iowa","19","12","7"
"Underwood city, Iowa","","",""
"    Underwood city, Iowa","372","344","28"
"Union city, Iowa","","",""
"    Union city, Iowa","188","160","28"
"Unionville city, Iowa","","",""
"    Unionville city, Iowa","49","37","12"
"University Heights city, Iowa","","",""
"    University Heights city, Iowa","673","564","109"
"University Park city, Iowa","","",""
"    University Park city, Iowa","202","187","15"
"Urbana city, Iowa","","",""
"    Urbana city, Iowa","574","554","20"
"Urbandale city, Iowa","","",""
"    Urbandale city, Iowa","18,366","17,528","838"
"Ute city, Iowa","","",""
"    Ute city, Iowa","188","168","20"
"Vail city, Iowa","","",""
"    Vail city, Iowa","186","167","19"
"Valeria city, Iowa","","",""
"    Valeria city, Iowa","22","15","7"
"Van Horne city, Iowa","","",""
"    Van Horne city, Iowa","335","320","15"
"Van Meter city, Iowa","","",""
"    Van Meter city, Iowa","538","513","25"
"Van Wert city, Iowa","","",""
"    Van Wert city, Iowa","104","82","22"
"Varina city, Iowa","","",""
"    Varina city, Iowa","38","34","4"
"Ventura city, Iowa","","",""
"    Ventura city, Iowa","387","325","62"
"Victor city, Iowa","","",""
"    Victor city, Iowa","417","379","38"
"Villisca city, Iowa","","",""
"    Villisca city, Iowa","558","487","71"
"Vincent city, Iowa","","",""
"    Vincent city, Iowa","73","64","9"
"Vining city, Iowa","","",""
"    Vining city, Iowa","28","28","0"
"Vinton city, Iowa","","",""
"    Vinton city, Iowa","2,262","2,117","145"
"Volga city, Iowa","","",""
"    Volga city, Iowa","105","90","15"
"Wadena city, Iowa","","",""
"    Wadena city, Iowa","109","107","2"
"Wahpeton city, Iowa","","",""
"    Wahpeton city, Iowa","745","177","568"
"Walcott city, Iowa","","",""
"    Walcott city, Iowa","711","664","47"
"Walford city, Iowa","","",""
"    Walford city, Iowa","497","485","12"
"Walker city, Iowa","","",""
"    Walker city, Iowa","299","278","21"
"Wallingford city, Iowa","","",""
"    Wallingford city, Iowa","78","77","1"
"Wall Lake city, Iowa","","",""
"    Wall Lake city, Iowa","354","325","29"
"Walnut city, Iowa","","",""
"    Walnut city, Iowa","344","312","32"
"Wapello city, Iowa","","",""
"    Wapello city, Iowa","900","837","63"
"Washburn CDP, Iowa","","",""
"    Washburn CDP, Iowa","394","380","14"
"undefined","","",""
"    Washington city, Iowa","3,280","3,071","209"
"Washta city, Iowa","","",""
"    Washta city, Iowa","117","97","20"
"Waterloo city, Iowa","","",""
"    Waterloo city, Iowa","31,603","28,962","2,641"
"Waterville city, Iowa","","",""
"    Waterville city, Iowa","57","49","8"
"Watkins CDP, Iowa","","",""
"    Watkins CDP, Iowa","54","49","5"
"Waucoma city, Iowa","","",""
"    Waucoma city, Iowa","123","116","7"
"Waukee city, Iowa","","",""
"    Waukee city, Iowa","9,831","9,107","724"
"Waukon city, Iowa","","",""
"    Waukon city, Iowa","1,939","1,761","178"
"Waverly city, Iowa","","",""
"    Waverly city, Iowa","4,166","3,823","343"
"Wayland city, Iowa","","",""
"    Wayland city, Iowa","423","403","20"
"Webb city, Iowa","","",""
"    Webb city, Iowa","72","61","11"
"Webster city, Iowa","","",""
"    Webster city, Iowa","47","47","0"
"Webster City city, Iowa","","",""
"    Webster City city, Iowa","3,734","3,320","414"
"Weldon city, Iowa","","",""
"    Weldon city, Iowa","58","52","6"
"Wellman city, Iowa","","",""
"    Wellman city, Iowa","636","589","47"
"Wellsburg city, Iowa","","",""
"    Wellsburg city, Iowa","363","321","42"
"Welton city, Iowa","","",""
"    Welton city, Iowa","64","62","2"
"Wesley city, Iowa","","",""
"    Wesley city, Iowa","189","180","9"
"West Amana CDP, Iowa","","",""
"    West Amana CDP, Iowa","69","61","8"
"West Bend city, Iowa","","",""
"    West Bend city, Iowa","374","351","23"
"West Branch city, Iowa","","",""
"    West Branch city, Iowa","1,128","1,034","94"
"West Burlington city, Iowa","","",""
"    West Burlington city, Iowa","1,532","1,395","137"
"West Chester city, Iowa","","",""
"    West Chester city, Iowa","67","59","8"
"West Des Moines city, Iowa","","",""
"    West Des Moines city, Iowa","32,200","30,094","2,106"
"Westfield city, Iowa","","",""
"    Westfield city, Iowa","64","54","10"
"Westgate city, Iowa","","",""
"    Westgate city, Iowa","94","92","2"
"West Liberty city, Iowa","","",""
"    West Liberty city, Iowa","1,399","1,321","78"
"West Okoboji city, Iowa","","",""
"    West Okoboji city, Iowa","370","157","213"
"Weston CDP, Iowa","","",""
"    Weston CDP, Iowa","35","35","0"
"Westphalia city, Iowa","","",""
"    Westphalia city, Iowa","59","59","0"
"West Point city, Iowa","","",""
"    West Point city, Iowa","464","426","38"
"Westside city, Iowa","","",""
"    Westside city, Iowa","147","141","6"
"West Union city, Iowa","","",""
"    West Union city, Iowa","1,232","1,103","129"
"Westwood city, Iowa","","",""
"    Westwood city, Iowa","48","44","4"
"Wever CDP, Iowa","","",""
"    Wever CDP, Iowa","55","47","8"
"What Cheer city, Iowa","","",""
"    What Cheer city, Iowa","306","264","42"
"Wheatland city, Iowa","","",""
"    Wheatland city, Iowa","339","317","22"
"Whiting city, Iowa","","",""
"    Whiting city, Iowa","343","307","36"
"Whittemore city, Iowa","","",""
"    Whittemore city, Iowa","241","203","38"
"Whitten city, Iowa","","",""
"    Whitten city, Iowa","57","42","15"
"Willey city, Iowa","","",""
"    Willey city, Iowa","32","29","3"
"Williams city, Iowa","","",""
"    Williams city, Iowa","176","153","23"
"Williamsburg city, Iowa","","",""
"    Williamsburg city, Iowa","1,488","1,391","97"
"Williamson city, Iowa","","",""
"    Williamson city, Iowa","61","53","8"
"Wilton city, Iowa","","",""
"    Wilton city, Iowa","1,255","1,166","89"
"Windsor Heights city, Iowa","","",""
"    Windsor Heights city, Iowa","2,320","2,226","94"
"Winfield city, Iowa","","",""
"    Winfield city, Iowa","457","415","42"
"Winterset city, Iowa","","",""
"    Winterset city, Iowa","2,451","2,231","220"
"Winthrop city, Iowa","","",""
"    Winthrop city, Iowa","344","329","15"
"Wiota city, Iowa","","",""
"    Wiota city, Iowa","59","46","13"
"Woden city, Iowa","","",""
"    Woden city, Iowa","114","88","26"
"Woodbine city, Iowa","","",""
"    Woodbine city, Iowa","727","651","76"
"Woodburn city, Iowa","","",""
"    Woodburn city, Iowa","76","58","18"
"Woodward city, Iowa","","",""
"    Woodward city, Iowa","491","439","52"
"Woolstock city, Iowa","","",""
"    Woolstock city, Iowa","83","77","6"
"Worthington city, Iowa","","",""
"    Worthington city, Iowa","165","153","12"
"Wyoming city, Iowa","","",""
"    Wyoming city, Iowa","274","230","44"
"Yale city, Iowa","","",""
"    Yale city, Iowa","120","114","6"
"Yarmouth CDP, Iowa","","",""
"    Yarmouth CDP, Iowa","36","29","7"
"Yetter city, Iowa","","",""
"    Yetter city, Iowa","18","13","5"
"Yorktown city, Iowa","","",""
"    Yorktown city, Iowa","32","23","9"
"Zearing city, Iowa","","",""
"    Zearing city, Iowa","236","218","18"
"Zwingle city, Iowa","","",""
"    Zwingle city, Iowa","42","34","8"
"Abbyville city, Kansas","","",""
"    Abbyville city, Kansas","49","42","7"
"Abilene city, Kansas","","",""
"    Abilene city, Kansas","3,137","2,797","340"
"Ada CDP, Kansas","","",""
"    Ada CDP, Kansas","54","34","20"
"Admire city, Kansas","","",""
"    Admire city, Kansas","59","48","11"
"Agenda city, Kansas","","",""
"    Agenda city, Kansas","51","27","24"
"Agra city, Kansas","","",""
"    Agra city, Kansas","146","101","45"
"Albert city, Kansas","","",""
"    Albert city, Kansas","74","64","10"
"Alden city, Kansas","","",""
"    Alden city, Kansas","61","39","22"
"Alexander city, Kansas","","",""
"    Alexander city, Kansas","32","29","3"
"Allen city, Kansas","","",""
"    Allen city, Kansas","90","77","13"
"Alma city, Kansas","","",""
"    Alma city, Kansas","357","324","33"
"Almena city, Kansas","","",""
"    Almena city, Kansas","198","152","46"
"Altamont city, Kansas","","",""
"    Altamont city, Kansas","448","428","20"
"Alta Vista city, Kansas","","",""
"    Alta Vista city, Kansas","202","182","20"
"Alton city, Kansas","","",""
"    Alton city, Kansas","63","35","28"
"Altoona city, Kansas","","",""
"    Altoona city, Kansas","182","140","42"
"Americus city, Kansas","","",""
"    Americus city, Kansas","357","324","33"
"Ames CDP, Kansas","","",""
"    Ames CDP, Kansas","14","14","0"
"Andale city, Kansas","","",""
"    Andale city, Kansas","325","307","18"
"Andover city, Kansas","","",""
"    Andover city, Kansas","5,287","5,009","278"
"Anthony city, Kansas","","",""
"    Anthony city, Kansas","1,217","922","295"
"Arcadia city, Kansas","","",""
"    Arcadia city, Kansas","152","128","24"
"Argonia city, Kansas","","",""
"    Argonia city, Kansas","229","189","40"
"Arkansas City city, Kansas","","",""
"    Arkansas City city, Kansas","5,382","4,467","915"
"Arlington city, Kansas","","",""
"    Arlington city, Kansas","230","196","34"
"Arma city, Kansas","","",""
"    Arma city, Kansas","708","632","76"
"Asherville CDP, Kansas","","",""
"    Asherville CDP, Kansas","9","9","0"
"Ashland city, Kansas","","",""
"    Ashland city, Kansas","452","357","95"
"Assaria city, Kansas","","",""
"    Assaria city, Kansas","176","169","7"
"Atchison city, Kansas","","",""
"    Atchison city, Kansas","4,361","3,871","490"
"Athol city, Kansas","","",""
"    Athol city, Kansas","25","25","0"
"Atlanta city, Kansas","","",""
"    Atlanta city, Kansas","98","71","27"
"Attica city, Kansas","","",""
"    Attica city, Kansas","280","218","62"
"Atwood city, Kansas","","",""
"    Atwood city, Kansas","648","557","91"
"Auburn city, Kansas","","",""
"    Auburn city, Kansas","501","483","18"
"Augusta city, Kansas","","",""
"    Augusta city, Kansas","4,002","3,670","332"
"Aurora city, Kansas","","",""
"    Aurora city, Kansas","27","13","14"
"Axtell city, Kansas","","",""
"    Axtell city, Kansas","194","172","22"
"Baileyville CDP, Kansas","","",""
"    Baileyville CDP, Kansas","83","79","4"
"Bala CDP, Kansas","","",""
"    Bala CDP, Kansas","11","8","3"
"Baldwin City city, Kansas","","",""
"    Baldwin City city, Kansas","1,748","1,651","97"
"Barnard city, Kansas","","",""
"    Barnard city, Kansas","49","34","15"
"Barnes city, Kansas","","",""
"    Barnes city, Kansas","82","72","10"
"Bartlett city, Kansas","","",""
"    Bartlett city, Kansas","37","36","1"
"Basehor city, Kansas","","",""
"    Basehor city, Kansas","2,596","2,531","65"
"Bassett city, Kansas","","",""
"    Bassett city, Kansas","10","5","5"
"Bavaria CDP, Kansas","","",""
"    Bavaria CDP, Kansas","26","26","0"
"Baxter Springs city, Kansas","","",""
"    Baxter Springs city, Kansas","1,898","1,595","303"
"Bazine city, Kansas","","",""
"    Bazine city, Kansas","164","116","48"
"Beattie city, Kansas","","",""
"    Beattie city, Kansas","89","86","3"
"Beaumont CDP, Kansas","","",""
"    Beaumont CDP, Kansas","28","16","12"
"Beaver CDP, Kansas","","",""
"    Beaver CDP, Kansas","20","17","3"
"Bel Aire city, Kansas","","",""
"    Bel Aire city, Kansas","3,258","3,080","178"
"Belle Plaine city, Kansas","","",""
"    Belle Plaine city, Kansas","653","588","65"
"Belleville city, Kansas","","",""
"    Belleville city, Kansas","1,157","919","238"
"Beloit city, Kansas","","",""
"    Beloit city, Kansas","1,788","1,471","317"
"Belpre city, Kansas","","",""
"    Belpre city, Kansas","54","40","14"
"Belvue city, Kansas","","",""
"    Belvue city, Kansas","69","61","8"
"Bendena CDP, Kansas","","",""
"    Bendena CDP, Kansas","59","52","7"
"Benedict city, Kansas","","",""
"    Benedict city, Kansas","40","33","7"
"Bennington city, Kansas","","",""
"    Bennington city, Kansas","270","254","16"
"Bentley city, Kansas","","",""
"    Bentley city, Kansas","217","205","12"
"Benton city, Kansas","","",""
"    Benton city, Kansas","407","375","32"
"Bern city, Kansas","","",""
"    Bern city, Kansas","88","66","22"
"Beverly city, Kansas","","",""
"    Beverly city, Kansas","80","63","17"
"Big Bow CDP, Kansas","","",""
"    Big Bow CDP, Kansas","20","13","7"
"Bird City city, Kansas","","",""
"    Bird City city, Kansas","271","205","66"
"Bison city, Kansas","","",""
"    Bison city, Kansas","109","85","24"
"Blue Mound city, Kansas","","",""
"    Blue Mound city, Kansas","125","95","30"
"Blue Rapids city, Kansas","","",""
"    Blue Rapids city, Kansas","418","376","42"
"Bluff City city, Kansas","","",""
"    Bluff City city, Kansas","31","21","10"
"Bogue city, Kansas","","",""
"    Bogue city, Kansas","91","71","20"
"Bonner Springs city, Kansas","","",""
"    Bonner Springs city, Kansas","3,202","3,037","165"
"Bremen CDP, Kansas","","",""
"    Bremen CDP, Kansas","25","17","8"
"Brewster city, Kansas","","",""
"    Brewster city, Kansas","136","110","26"
"Bridgeport CDP, Kansas","","",""
"    Bridgeport CDP, Kansas","31","31","0"
"Bronson city, Kansas","","",""
"    Bronson city, Kansas","131","107","24"
"Brookville city, Kansas","","",""
"    Brookville city, Kansas","109","92","17"
"Brownell city, Kansas","","",""
"    Brownell city, Kansas","27","18","9"
"Bucklin city, Kansas","","",""
"    Bucklin city, Kansas","344","284","60"
"Bucyrus CDP, Kansas","","",""
"    Bucyrus CDP, Kansas","67","64","3"
"Buffalo city, Kansas","","",""
"    Buffalo city, Kansas","116","93","23"
"Buhler city, Kansas","","",""
"    Buhler city, Kansas","534","477","57"
"Bunker Hill city, Kansas","","",""
"    Bunker Hill city, Kansas","59","44","15"
"Burden city, Kansas","","",""
"    Burden city, Kansas","223","189","34"
"Burdett city, Kansas","","",""
"    Burdett city, Kansas","122","95","27"
"Burdick CDP, Kansas","","",""
"    Burdick CDP, Kansas","37","27","10"
"Burlingame city, Kansas","","",""
"    Burlingame city, Kansas","487","437","50"
"Burlington city, Kansas","","",""
"    Burlington city, Kansas","1,325","1,136","189"
"Burns city, Kansas","","",""
"    Burns city, Kansas","104","83","21"
"Burr Oak city, Kansas","","",""
"    Burr Oak city, Kansas","119","69","50"
"Burrton city, Kansas","","",""
"    Burrton city, Kansas","383","326","57"
"Bushong city, Kansas","","",""
"    Bushong city, Kansas","18","16","2"
"Bushton city, Kansas","","",""
"    Bushton city, Kansas","141","92","49"
"Byers city, Kansas","","",""
"    Byers city, Kansas","18","15","3"
"Caldwell city, Kansas","","",""
"    Caldwell city, Kansas","574","469","105"
"Cambridge city, Kansas","","",""
"    Cambridge city, Kansas","56","43","13"
"Caney city, Kansas","","",""
"    Caney city, Kansas","928","761","167"
"Canton city, Kansas","","",""
"    Canton city, Kansas","316","283","33"
"Carbondale city, Kansas","","",""
"    Carbondale city, Kansas","622","578","44"
"Carlton city, Kansas","","",""
"    Carlton city, Kansas","19","15","4"
"Cassoday city, Kansas","","",""
"    Cassoday city, Kansas","57","43","14"
"Catharine CDP, Kansas","","",""
"    Catharine CDP, Kansas","62","56","6"
"Cawker City city, Kansas","","",""
"    Cawker City city, Kansas","292","215","77"
"Cedar city, Kansas","","",""
"    Cedar city, Kansas","10","7","3"
"Cedar Point city, Kansas","","",""
"    Cedar Point city, Kansas","20","6","14"
"Cedar Vale city, Kansas","","",""
"    Cedar Vale city, Kansas","305","184","121"
"Centerville CDP, Kansas","","",""
"    Centerville CDP, Kansas","33","31","2"
"Centralia city, Kansas","","",""
"    Centralia city, Kansas","221","193","28"
"Centropolis CDP, Kansas","","",""
"    Centropolis CDP, Kansas","51","50","1"
"Chanute city, Kansas","","",""
"    Chanute city, Kansas","4,108","3,530","578"
"Chapman city, Kansas","","",""
"    Chapman city, Kansas","597","526","71"
"Chase city, Kansas","","",""
"    Chase city, Kansas","201","167","34"
"Chautauqua city, Kansas","","",""
"    Chautauqua city, Kansas","55","45","10"
"Cheney city, Kansas","","",""
"    Cheney city, Kansas","859","818","41"
"Cherokee city, Kansas","","",""
"    Cherokee city, Kansas","306","246","60"
"Cherryvale city, Kansas","","",""
"    Cherryvale city, Kansas","1,021","874","147"
"Chetopa city, Kansas","","",""
"    Chetopa city, Kansas","530","430","100"
"Chicopee CDP, Kansas","","",""
"    Chicopee CDP, Kansas","190","176","14"
"Cimarron city, Kansas","","",""
"    Cimarron city, Kansas","829","745","84"
"Circleville city, Kansas","","",""
"    Circleville city, Kansas","76","63","13"
"Claflin city, Kansas","","",""
"    Claflin city, Kansas","280","240","40"
"Clay Center city, Kansas","","",""
"    Clay Center city, Kansas","2,103","1,809","294"
"Clayton city, Kansas","","",""
"    Clayton city, Kansas","32","22","10"
"Clearwater city, Kansas","","",""
"    Clearwater city, Kansas","985","934","51"
"Clifton city, Kansas","","",""
"    Clifton city, Kansas","244","192","52"
"Climax city, Kansas","","",""
"    Climax city, Kansas","36","21","15"
"Clyde city, Kansas","","",""
"    Clyde city, Kansas","351","287","64"
"Coats city, Kansas","","",""
"    Coats city, Kansas","45","32","13"
"Codell CDP, Kansas","","",""
"    Codell CDP, Kansas","23","16","7"
"Coffeyville city, Kansas","","",""
"    Coffeyville city, Kansas","4,538","3,587","951"
"Colby city, Kansas","","",""
"    Colby city, Kansas","2,496","2,199","297"
"Coldwater city, Kansas","","",""
"    Coldwater city, Kansas","442","345","97"
"Collyer city, Kansas","","",""
"    Collyer city, Kansas","60","45","15"
"Colony city, Kansas","","",""
"    Colony city, Kansas","188","154","34"
"Columbus city, Kansas","","",""
"    Columbus city, Kansas","1,488","1,251","237"
"Colwich city, Kansas","","",""
"    Colwich city, Kansas","561","535","26"
"Concordia city, Kansas","","",""
"    Concordia city, Kansas","2,512","2,023","489"
"Conway Springs city, Kansas","","",""
"    Conway Springs city, Kansas","482","430","52"
"Coolidge city, Kansas","","",""
"    Coolidge city, Kansas","44","28","16"
"Copeland city, Kansas","","",""
"    Copeland city, Kansas","118","93","25"
"Corning city, Kansas","","",""
"    Corning city, Kansas","71","70","1"
"Cottonwood Falls city, Kansas","","",""
"    Cottonwood Falls city, Kansas","395","318","77"
"Council Grove city, Kansas","","",""
"    Council Grove city, Kansas","1,050","912","138"
"Courtland city, Kansas","","",""
"    Courtland city, Kansas","149","116","33"
"Coyville city, Kansas","","",""
"    Coyville city, Kansas","34","24","10"
"Crestline CDP, Kansas","","",""
"    Crestline CDP, Kansas","52","42","10"
"Croweburg CDP, Kansas","","",""
"    Croweburg CDP, Kansas","40","32","8"
"Cuba city, Kansas","","",""
"    Cuba city, Kansas","109","69","40"
"Cullison city, Kansas","","",""
"    Cullison city, Kansas","64","26","38"
"Culver city, Kansas","","",""
"    Culver city, Kansas","56","41","15"
"Cunningham city, Kansas","","",""
"    Cunningham city, Kansas","206","180","26"
"Damar city, Kansas","","",""
"    Damar city, Kansas","79","53","26"
"Danville city, Kansas","","",""
"    Danville city, Kansas","19","13","6"
"Dearing city, Kansas","","",""
"    Dearing city, Kansas","188","171","17"
"Deerfield city, Kansas","","",""
"    Deerfield city, Kansas","259","235","24"
"Delia city, Kansas","","",""
"    Delia city, Kansas","61","59","2"
"Delphos city, Kansas","","",""
"    Delphos city, Kansas","182","131","51"
"Denison city, Kansas","","",""
"    Denison city, Kansas","82","63","19"
"Dennis CDP, Kansas","","",""
"    Dennis CDP, Kansas","54","51","3"
"Denton city, Kansas","","",""
"    Denton city, Kansas","65","58","7"
"Derby city, Kansas","","",""
"    Derby city, Kansas","10,672","9,991","681"
"De Soto city, Kansas","","",""
"    De Soto city, Kansas","2,462","2,295","167"
"Detroit CDP, Kansas","","",""
"    Detroit CDP, Kansas","46","42","4"
"Devon CDP, Kansas","","",""
"    Devon CDP, Kansas","33","33","0"
"Dexter city, Kansas","","",""
"    Dexter city, Kansas","102","94","8"
"Dighton city, Kansas","","",""
"    Dighton city, Kansas","550","461","89"
"Dodge City city, Kansas","","",""
"    Dodge City city, Kansas","9,869","9,000","869"
"Dorrance city, Kansas","","",""
"    Dorrance city, Kansas","97","75","22"
"Douglass city, Kansas","","",""
"    Douglass city, Kansas","680","595","85"
"Downs city, Kansas","","",""
"    Downs city, Kansas","499","384","115"
"Dresden city, Kansas","","",""
"    Dresden city, Kansas","27","20","7"
"Dunlap city, Kansas","","",""
"    Dunlap city, Kansas","21","15","6"
"Durham city, Kansas","","",""
"    Durham city, Kansas","58","49","9"
"Dwight city, Kansas","","",""
"    Dwight city, Kansas","113","90","23"
"Earlton city, Kansas","","",""
"    Earlton city, Kansas","26","24","2"
"Eastborough city, Kansas","","",""
"    Eastborough city, Kansas","313","289","24"
"Easton city, Kansas","","",""
"    Easton city, Kansas","91","75","16"
"Eastshore CDP, Kansas","","",""
"    Eastshore CDP, Kansas","70","50","20"
"Edgerton city, Kansas","","",""
"    Edgerton city, Kansas","647","616","31"
"Edmond city, Kansas","","",""
"    Edmond city, Kansas","24","12","12"
"Edna city, Kansas","","",""
"    Edna city, Kansas","199","153","46"
"Edson CDP, Kansas","","",""
"    Edson CDP, Kansas","12","12","0"
"Edwardsville city, Kansas","","",""
"    Edwardsville city, Kansas","1,786","1,682","104"
"Effingham city, Kansas","","",""
"    Effingham city, Kansas","233","202","31"
"Elbing city, Kansas","","",""
"    Elbing city, Kansas","77","77","0"
"El Dorado city, Kansas","","",""
"    El Dorado city, Kansas","5,838","5,136","702"
"Elgin city, Kansas","","",""
"    Elgin city, Kansas","49","24","25"
"Elk City city, Kansas","","",""
"    Elk City city, Kansas","144","106","38"
"Elk Falls city, Kansas","","",""
"    Elk Falls city, Kansas","55","54","1"
"Elkhart city, Kansas","","",""
"    Elkhart city, Kansas","907","729","178"
"Ellinwood city, Kansas","","",""
"    Ellinwood city, Kansas","986","862","124"
"Ellis city, Kansas","","",""
"    Ellis city, Kansas","935","845","90"
"Ellsworth city, Kansas","","",""
"    Ellsworth city, Kansas","1,144","969","175"
"Elmdale city, Kansas","","",""
"    Elmdale city, Kansas","18","11","7"
"Elsmore city, Kansas","","",""
"    Elsmore city, Kansas","39","29","10"
"Elwood city, Kansas","","",""
"    Elwood city, Kansas","494","441","53"
"Elyria CDP, Kansas","","",""
"    Elyria CDP, Kansas","48","42","6"
"Emmett city, Kansas","","",""
"    Emmett city, Kansas","72","65","7"
"Emporia city, Kansas","","",""
"    Emporia city, Kansas","11,232","9,876","1,356"
"Englewood city, Kansas","","",""
"    Englewood city, Kansas","55","28","27"
"Ensign city, Kansas","","",""
"    Ensign city, Kansas","70","61","9"
"Enterprise city, Kansas","","",""
"    Enterprise city, Kansas","316","271","45"
"Erie city, Kansas","","",""
"    Erie city, Kansas","482","418","64"
"Esbon city, Kansas","","",""
"    Esbon city, Kansas","70","44","26"
"Eskridge city, Kansas","","",""
