City_ID,City_Name,State_Name,State_ID,County_Name,County_FIPS,Latitude,Longitude,Population_August_13_2021,Density_August_13_2021,Zips,revenue_imputed_2017,payroll_imputed_2017,employees_imputed_2017,government_finances_expenditure_per_resident_in_2018,government_finances_revenue_per_resident_in_2018,government_finances_debt_per_resident_in_2018,government_finances_cash_and_securities_per_resident_in_2018,past_trade_dollars_2020,past_trade_tons_2020,future_trade_dollars_2030,future_trade_tons_2030,median_gross_rent_in_2019,cost_of_living_index_in_march_2019,percentage_of_residents_living_in_poverty_in_2019,unemployment_in_november_2020,broadband_connection_2019,park_access_2018,preventive_services_2018,walkability_2019,average_domestic_production_to_consumption_ratio_2020
1840003008,Waukesha,Wisconsin,WI,Waukesha,55133,43.0087,-88.2464,72299,1093,53186 53188 53189 53187,17.96%,18.33%,17.00%,2162.55,1807.01,8450.16,385.26,387654.2651,346168.527,454314.8287,380867.7449,$994.00 ,98,10.30%,4.20%,76.9,83.1,28.5,35.4,0.933829083
1840003285,Pawtucket,Rhode Island,RI,Providence,44007,41.8744,-71.3743,72117,3212,02861 02860 02862,20.38%,18.79%,22.24%,4836.52,3878.32,5824.26,1125.87,62371.82767,42285.3729,66770.7738,42087.56875,$935.00 ,92.2,14.90%,9.00%,65.8,90.5,26.7,68.6,0.837900262
1840015146,Lauderhill,Florida,FL,Broward,12011,26.1605,-80.2242,71868,3256,33351 33313 33311 33319 33083,19.81%,20.33%,22.33%,1259.67,1403.14,3366.31,233.26,742961.257,650746.2228,945766.0716,725010.3755,"$1,297.00 ",113.6,15.40%,11.80%,58,63.8,21.7,41.2,1.526919908
1840020412,Redlands,California,CA,San Bernardino,6071,34.0511,-117.1712,71513,770,92373 92374 92346 92375,19.44%,19.67%,22.33%,2016.55,1992.71,1882.39,771.36,2556480.48,1299362.567,3334321.85,1486806.432,"$1,473.00 ",82.1,7.40%,6.10%,72.4,48.2,30.7,38.9,0.946299147
1840005579,Wilmington,Delaware,DE,New Castle,10003,39.7415,-75.5413,70166,2484,19809 19802 19801 19806 19805 19850 19880 19884 19885 19886 19890 19893 19894 19895 19896 19898 19899,17.92%,15.74%,17.96%,4909.72,3430.88,10686.22,1590.36,63219.56202,56383.27679,81101.74943,64351.39575,"$1,021.00 ",100.9,29.80%,8.70%,63,99.1,29,74.6,0.813827954
1840020492,Lynwood,California,CA,Los Angeles,6037,33.924,-118.2017,69887,5575,90262,19.44%,19.67%,22.33%,816.04,842.89,1257.68,1120.65,2556480.48,1299362.567,3334321.85,1486806.432,"$1,310.00 ",140.2,14.40%,13.60%,56.8,70.9,22.2,68.8,0.946299147
1840000837,Passaic,New Jersey,NJ,Passaic,34031,40.8574,-74.1282,69703,8590,7055,21.67%,19.00%,25.67%,2274.61,1708.14,160.22,453.03,747051.1129,398580.5142,937802.8649,452431.4428,"$1,160.00 ",122.4,21.10%,14.80%,54.6,84.1,25,82.5,1.1769662
1840001034,Union City,New Jersey,NJ,Hudson,34017,40.7674,-74.0323,67982,20394,7087,21.67%,19.00%,25.67%,8222.71,5427.75,3846.3,1009.44,747051.1129,398580.5142,937802.8649,452431.4428,"$1,246.00 ",124.8,14.30%,14.60%,63.5,91.6,26.5,94.4,1.1769662
1840011311,Palatine,Illinois,IL,Cook,17031,42.1181,-88.043,67482,1916,60074 60067 60055 60095,19.81%,19.33%,20.67%,1644.91,1424.04,6527.46,911.53,1232996.946,937301.4026,1528440.222,1044660.811,"$1,181.00 ",102.9,13.70%,5.30%,81.6,79.1,33.1,38.6,0.958396966
1840000781,Mount Vernon,New York,NY,Westchester,36119,40.9136,-73.8291,67345,5930,10552 10553 10550 10551,20.56%,20.33%,23.33%,2791.72,1893,877.1,1015.58,940519.0541,572167.1529,1202409.761,640601.8755,"$1,262.00 ",153.1,14.60%,9.90%,58.5,98.1,18.5,74,0.862411789
1840020509,Redondo Beach,California,CA,Los Angeles,6037,33.8574,-118.3766,66749,4158,90278 90277,19.44%,19.67%,22.33%,1972.08,1905.99,1046.15,1533.22,2556480.48,1299362.567,3334321.85,1486806.432,"$2,153.00 ",146.2,2.80%,7.20%,87.2,97.8,37,74.1,0.946299147
1840015047,Kenner,Louisiana,LA,Jefferson,22051,30.0109,-90.2549,66340,1721,70065 70062 70063 70064 70097 70141,22.41%,17.33%,19.00%,1504.41,1359.98,2759.18,840.15,574441.8865,939656.4638,657561.1087,1071144.79,$890 ,95.1,9.60%,9.20%,63.8,34.7,25.1,45.1,1.107045197
1840000395,Schenectady,New York,NY,Schenectady,36093,42.8025,-73.9276,65273,2335,12305 12304 12307 12308 12301 12325 12345,20.56%,20.33%,23.33%,2527.14,1720,4217.95,1027.75,940519.0541,572167.1529,1202409.761,640601.8755,$939.00 ,105.8,24.50%,8.40%,73.1,54.8,24.1,65,0.862411789
